true,pred,diff
2,2,2.373189224665559
2,2,0.33837113199094015
2,2,0.2848253513828734
2,2,0.7216211372946308
2,2,0.8833435266351537
2,2,0.4416966760636446
2,2,0.3634056478554441
2,2,0.04989940511357813
2,2,0.6057558831369815
2,2,0.6799831138053918
2,2,0.0499359451455403
2,2,0.04976549729959023
2,2,0.049457746329802314
2,2,0.5618997247900663
2,2,0.8857552010153216
2,2,0.776379750304243
2,2,0.4563091644365482
2,2,0.049719007447942096
2,2,1.284723251129108
2,2,0.9214131282607201
3,3,0.0496874590096751
3,1,0.7034885586673406
3,3,0.053611073145317406
3,3,0.04424638382363138
3,3,0.19130597063113983
3,3,0.04976403935619943
3,3,1.0697775501137907
3,3,0.04990433297657363
3,3,0.048953551565549105
3,3,0.054034098619157866
3,3,0.04982632640938
3,3,0.04967808710298623
3,3,0.04921510600999364
3,3,0.04976509598531031
3,3,0.04985084148022655
3,3,0.053125942141066945
3,3,0.049717846809138606
3,1,0.8346458249184141
3,3,0.0496891880278673
3,3,0.048736934608221934
3,3,0.04970143807343108
3,1,1.80360879304679
3,3,0.049913924682387034
3,1,827.837347327338
3,3,0.049740075690771976
3,1,0.9185799936124545
3,3,3.7800815005166304
3,3,0.6862018861811208
3,3,0.0496448611495373
3,1,1.6569836866752514
3,3,0.04972755893240667
3,3,0.04910494516742453
3,3,0.049929133679530655
3,3,0.04994361399639037
3,1,0.7688337405412223
3,3,0.9897363124774149
3,3,5.262029284422586
3,3,0.0498789876901692
3,3,0.1884326600541063
3,3,0.05158801152511203
3,3,0.04870084574933158
3,3,0.0494097739054288
3,3,0.049767848483945845
3,3,0.04903746388877829
3,3,0.8601875863956765
3,3,0.3331917328114601
3,3,0.11306809422761814
3,3,1.218048092007911
3,3,0.7932873049232383
3,1,1168.1808133918853
3,3,0.04978859457180521
3,3,0.04974092294207231
3,3,0.049767731923493035
3,1,0.856157707180903
3,3,0.049788469973695
3,3,0.05180087740303949
3,3,9.171874403688207
3,3,0.052516653264009984
3,3,0.04970840876524946
3,3,0.049043553334782296
3,1,0.550469447356687
3,3,0.049502229354917
3,1,0.21256323511580358
3,1,1.3013918012963204
3,3,1.5082062074954266
3,3,0.04953954567782177
3,1,2.4140164069059007
3,3,0.05086915801442136
3,1,1.5599371948679008
3,3,0.04977983850789925
3,3,0.04983899532569243
3,3,0.049708652891671756
3,1,1.4254639212983575
3,3,0.0547021679772069
3,3,1.8533056189726462
3,1,3.2269478559916616
3,3,0.051902452324916075
3,3,0.04978485786418265
3,3,0.048390938281882644
3,1,0.9520681611148479
3,3,0.10512303847219194
3,3,0.05027348873632306
3,1,0.808046551232085
3,3,0.04983143714985993
3,1,0.8421354295512308
3,3,0.05308755563129163
3,3,0.049043163356726545
3,3,0.0496958175435682
3,3,0.7988190150726227
3,3,0.04978180199886553
3,3,0.049752331127050284
3,3,0.049837035796406665
3,3,6.756428319805623
3,1,71.28897112680241
3,1,0.48028010760171097
3,3,0.17062074973644728
3,3,0.04977041933173835
3,3,1.1022051269329571
3,3,0.048431020808764436
3,1,245.57567847085753
4,4,0.049952301894485976
4,4,0.47948862717782287
4,4,1.6105610453429573
4,4,0.5368480457617965
4,4,0.4127466483997021
4,4,0.5210555172649681
4,4,1.5089793929561228
4,4,0.517029320093754
4,4,2.1101407074172536
4,4,0.04982458863964017
4,4,0.3001761954445503
4,4,1.0021958969065454
4,4,5.185277952203765
4,4,0.04972118955406594
4,4,0.4960988844194725
4,4,0.876631338311924
4,4,0.049932307728947134
4,4,0.314814052185283
4,4,0.7389720496672417
4,4,0.23056860402140433
4,4,1.7599963139916028
4,4,0.867042702294878
4,4,0.9946112280431113
4,4,0.049817026671168226
4,4,1686.5657849029196
4,4,0.05378009672577496
4,4,0.049970653946315474
4,4,0.07076367892235205
4,4,0.08515987901758378
4,4,0.6612594308010535
4,4,0.3677593862161916
4,4,2.31445584738529
4,4,0.3020008038117743
4,4,0.05051029211204969
4,4,0.6167799731464497
4,4,0.8670913482599395
4,4,0.32714233526705117
4,4,15.34509043877302
4,4,0.9105229944270181
4,4,0.61865381738567
4,4,3.488276888536262
4,4,0.4235135814984509
4,4,0.8412516456427034
4,4,0.818815868050003
4,4,2.3497281940018566
4,4,0.5347648898248514
